age,annual_income,net_worth,savings_rate,debt_ratio,employment_years,investment_experience_years,time_horizon_years,emergency_fund_months,employment_status,primary_goal,liquidity_need,resources_used,q1,q2,q3,q4,q5,risk_tolerance,risk_capacity,combined_score,investor_type,stocks_target,bonds_target,cash_target,alts_target,curr_stock,curr_bonds,curr_cash,curr_alts
37,30577,2168701,0.213,0.348,20,15,19,2,employee,wealth_generation,low,books,4,3,4,4,3,0.72,0.374,0.589,moderate,0.625,0.25,0.083,0.042,0.594,0.252,0.098,0.056
40,30577,2171456,0.153,0.091,20,10,20,6,employee,retirement,low,none,2,3,3,3,3,0.55,0.524,0.602,moderate,0.625,0.25,0.083,0.042,0.602,0.265,0.109,0.024
38,30587,2172438,0.093,0.441,22,6,10,5,retired,retirement,low,friends,3,3,4,2,2,0.58,0.281,0.45,moderate,0.591,0.273,0.091,0.045,0.529,0.255,0.122,0.095
26,30592,2174638,0.18,0.118,4,6,1,5,self-employed,home_purchase,low,friends,3,2,3,2,2,0.49,0.434,0.465,moderate,0.511,0.326,0.109,0.054,0.447,0.334,0.12,0.098
47,30594,2175442,0.077,0.32,25,8,6,4,unemployed,wealth_generation,low,books,5,3,2,3,4,0.69,0.319,0.522,moderate,0.559,0.294,0.098,0.049,0.581,0.309,0.09,0.021
33,30598,2175788,0.087,0.299,10,3,21,5,self-employed,wealth_generation,high,books,4,2,2,3,3,0.56,0.393,0.481,moderate,0.625,0.25,0.083,0.042,0.611,0.263,0.048,0.078
43,30607,2176709,0.178,0.37,21,1,21,4,employee,home_purchase,medium,books,1,2,2,1,3,0.35,0.366,0.341,conservative,0.417,0.417,0.125,0.042,0.446,0.388,0.14,0.026
58,30616,2177583,0.341,0.278,35,4,10,3,employee,retirement,low,friends,4,2,4,3,3,0.64,0.392,0.603,moderate,0.591,0.273,0.091,0.045,0.658,0.231,0.09,0.021
34,30616,2179710,0.25,0.062,16,11,8,6,employee,retirement,low,online,1,4,3,1,3,0.49,0.503,0.558,moderate,0.575,0.283,0.094,0.047,0.589,0.307,0.052,0.052
21,30627,2179812,0.171,0.337,3,4,8,3,employee,income,medium,books,2,3,3,4,2,0.55,0.355,0.469,moderate,0.575,0.283,0.094,0.047,0.552,0.272,0.124,0.051
39,30631,2179876,0.161,0.217,16,2,21,3,self-employed,retirement,low,advisor,4,4,5,4,3,0.81,0.439,0.704,aggressive,0.792,0.125,0.042,0.042,0.86,0.088,0.028,0.024
50,30638,2181707,0.386,0.193,26,3,8,1,employee,wealth_generation,low,online,3,5,3,4,5,0.79,0.433,0.642,moderate,0.575,0.283,0.094,0.047,0.545,0.298,0.1,0.057
57,30640,2183821,0.162,0.612,38,9,12,6,student,income,low,online,3,1,2,3,2,0.43,0.194,0.349,conservative,0.386,0.439,0.132,0.044,0.394,0.497,0.097,0.011
32,30663,2187560,0.137,0.292,9,8,16,2,self-employed,retirement,low,advisor,3,3,4,2,2,0.58,0.385,0.548,moderate,0.625,0.25,0.083,0.042,0.648,0.251,0.101,0.0
45,30669,2188229,0.258,0.339,29,9,6,2,self-employed,income,medium,advisor,4,3,4,3,3,0.69,0.337,0.542,moderate,0.559,0.294,0.098,0.049,0.528,0.27,0.127,0.075
38,30672,2188305,0.098,0.268,21,4,7,1,unemployed,wealth_generation,high,online,4,1,3,4,4,0.61,0.346,0.474,moderate,0.567,0.288,0.096,0.048,0.566,0.279,0.132,0.023
41,30690,2190248,0.058,0.366,17,13,9,3,self-employed,income,medium,online,3,3,1,2,3,0.49,0.329,0.44,moderate,0.583,0.278,0.093,0.046,0.529,0.304,0.088,0.078
63,30691,2190908,0.18,0.358,46,6,14,2,student,retirement,high,books,4,5,3,4,3,0.78,0.325,0.574,moderate,0.619,0.254,0.085,0.042,0.57,0.243,0.11,0.078
29,30696,2191854,0.057,0.317,12,7,18,4,employee,wealth_generation,medium,online,1,4,5,3,2,0.6,0.389,0.517,moderate,0.625,0.25,0.083,0.042,0.679,0.228,0.061,0.033
44,30699,2192087,0.128,0.678,21,15,12,2,retired,income,medium,books,3,3,5,4,3,0.71,0.164,0.501,moderate,0.605,0.263,0.088,0.044,0.611,0.237,0.1,0.052
45,30703,2192225,0.138,0.245,25,18,5,4,employee,retirement,medium,friends,1,3,5,3,4,0.61,0.398,0.545,moderate,0.55,0.3,0.1,0.05,0.599,0.272,0.129,0.0
50,30730,2192666,0.162,0.338,30,9,10,2,employee,retirement,low,online,3,3,5,3,2,0.65,0.36,0.555,moderate,0.591,0.273,0.091,0.045,0.573,0.314,0.085,0.028
42,30742,2193365,0.342,0.38,21,15,4,2,unemployed,retirement,low,none,3,4,2,3,3,0.61,0.287,0.49,moderate,0.541,0.306,0.102,0.051,0.55,0.28,0.103,0.067
44,30753,2196073,0.095,0.214,21,7,3,5,employee,income,low,books,1,4,3,4,4,0.61,0.408,0.555,moderate,0.531,0.312,0.104,0.052,0.452,0.319,0.123,0.106
38,30756,2196629,0.129,0.244,15,4,13,3,employee,retirement,high,none,3,2,2,2,3,0.48,0.419,0.502,moderate,0.612,0.259,0.086,0.043,0.646,0.255,0.051,0.048
44,30761,2196709,0.07,0.534,20,4,24,1,employee,retirement,low,online,2,4,2,1,2,0.47,0.276,0.418,moderate,0.625,0.25,0.083,0.042,0.62,0.284,0.077,0.02
39,30762,2197108,0.174,0.038,21,7,19,7,employee,education,medium,friends,3,2,2,2,3,0.48,0.552,0.541,moderate,0.625,0.25,0.083,0.042,0.628,0.271,0.068,0.033
46,30764,2199530,0.2,0.199,22,8,17,2,self-employed,wealth_generation,medium,books,3,4,3,2,3,0.62,0.438,0.521,moderate,0.625,0.25,0.083,0.042,0.652,0.266,0.059,0.022
39,30765,2200295,0.15,0.254,21,6,16,1,employee,wealth_generation,low,advisor,4,5,4,2,3,0.76,0.42,0.631,moderate,0.625,0.25,0.083,0.042,0.639,0.232,0.1,0.029
45,30775,2204763,0.101,0.002,29,13,21,2,employee,wealth_generation,low,books,3,2,3,4,3,0.58,0.579,0.592,moderate,0.625,0.25,0.083,0.042,0.597,0.272,0.065,0.066
41,30777,2204947,0.177,0.446,21,6,16,1,retired,wealth_generation,low,books,3,2,2,3,3,0.51,0.29,0.492,moderate,0.625,0.25,0.083,0.042,0.646,0.24,0.049,0.065
51,30780,2206996,0.161,0.18,29,4,14,1,employee,wealth_generation,medium,friends,2,3,3,2,3,0.52,0.457,0.429,moderate,0.619,0.254,0.085,0.042,0.656,0.269,0.075,0.0
41,30789,2210255,0.082,0.168,23,0,9,5,employee,income,low,advisor,3,3,3,3,2,0.57,0.449,0.548,moderate,0.583,0.278,0.093,0.046,0.598,0.22,0.114,0.067
27,30793,2211013,0.135,0.392,3,17,4,2,employee,retirement,medium,online,3,2,2,3,3,0.51,0.318,0.45,moderate,0.541,0.306,0.102,0.051,0.581,0.291,0.128,0.0
52,30796,2211988,0.14,0.177,36,11,11,1,employee,income,medium,online,3,1,2,5,1,0.46,0.45,0.478,moderate,0.598,0.268,0.089,0.045,0.581,0.298,0.096,0.025
34,30796,2215409,0.32,0.318,13,8,22,5,employee,retirement,low,online,5,3,2,3,4,0.69,0.399,0.533,moderate,0.625,0.25,0.083,0.042,0.578,0.318,0.07,0.035
36,30799,2218186,0.234,0.393,15,12,13,3,retired,retirement,low,online,1,4,3,4,1,0.52,0.312,0.443,moderate,0.612,0.259,0.086,0.043,0.691,0.267,0.013,0.029
37,30799,2220165,0.202,0.378,14,11,6,1,employee,wealth_generation,medium,advisor,3,1,4,2,2,0.48,0.33,0.476,moderate,0.559,0.294,0.098,0.049,0.621,0.294,0.023,0.063
52,30807,2222425,0.249,0.372,34,15,14,4,employee,home_purchase,low,books,1,3,3,2,3,0.47,0.35,0.387,moderate,0.619,0.254,0.085,0.042,0.619,0.3,0.081,0.0
24,30811,2222819,0.202,0.083,4,5,11,0,self-employed,wealth_generation,low,friends,2,1,3,5,4,0.54,0.483,0.539,moderate,0.598,0.268,0.089,0.045,0.605,0.292,0.045,0.057
67,30822,2223345,0.255,0.077,47,7,22,3,employee,retirement,low,advisor,3,3,3,4,4,0.66,0.539,0.594,moderate,0.625,0.25,0.083,0.042,0.585,0.262,0.108,0.044
50,30827,2223392,0.039,0.188,27,2,5,4,employee,wealth_generation,low,online,3,3,1,3,2,0.49,0.428,0.515,moderate,0.55,0.3,0.1,0.05,0.594,0.306,0.087,0.013
43,30829,2224873,0.145,0.041,21,16,15,7,employee,income,medium,online,2,3,2,4,4,0.57,0.537,0.582,moderate,0.625,0.25,0.083,0.042,0.644,0.247,0.071,0.038
41,30875,2225527,0.205,0.259,23,19,15,2,employee,wealth_generation,low,books,3,2,4,4,4,0.65,0.415,0.57,moderate,0.625,0.25,0.083,0.042,0.616,0.254,0.022,0.108
44,30914,2228494,0.169,0.221,22,11,28,5,employee,retirement,medium,books,2,3,3,3,4,0.58,0.471,0.514,moderate,0.625,0.25,0.083,0.042,0.649,0.231,0.082,0.038
46,30915,2229351,0.083,0.28,23,6,12,1,self-employed,wealth_generation,low,advisor,3,4,3,2,2,0.59,0.382,0.503,moderate,0.605,0.263,0.088,0.044,0.601,0.264,0.06,0.075
47,30953,2230866,0.121,0.185,27,6,20,3,employee,wealth_generation,low,advisor,2,3,3,3,3,0.55,0.471,0.508,moderate,0.625,0.25,0.083,0.042,0.603,0.242,0.056,0.099
46,30953,2231277,0.117,0.254,26,6,2,2,self-employed,retirement,low,advisor,3,4,1,1,4,0.54,0.371,0.446,moderate,0.521,0.319,0.106,0.053,0.508,0.311,0.13,0.051
42,30961,2239363,0.104,0.199,26,4,4,3,retired,home_purchase,low,advisor,4,4,4,3,3,0.74,0.387,0.594,moderate,0.541,0.306,0.102,0.051,0.537,0.303,0.088,0.072
40,30985,2240170,0.122,0.141,17,7,9,3,student,wealth_generation,high,advisor,1,3,2,5,2,0.49,0.421,0.404,moderate,0.583,0.278,0.093,0.046,0.601,0.293,0.078,0.029
40,30986,2243642,0.156,0.314,19,1,13,7,retired,retirement,low,books,3,5,3,3,1,0.64,0.352,0.547,moderate,0.612,0.259,0.086,0.043,0.625,0.228,0.118,0.029
40,30992,2244409,0.236,0.324,19,20,10,6,employee,income,medium,books,2,4,5,2,3,0.65,0.368,0.525,moderate,0.591,0.273,0.091,0.045,0.547,0.27,0.129,0.054
51,30993,2244505,0.204,0.398,31,6,6,4,unemployed,wealth_generation,medium,friends,5,4,4,2,5,0.82,0.283,0.584,moderate,0.559,0.294,0.098,0.049,0.513,0.347,0.1,0.04
46,30994,2246020,0.23,0.427,26,14,13,2,employee,wealth_generation,medium,friends,2,2,4,2,3,0.51,0.318,0.39,moderate,0.612,0.259,0.086,0.043,0.643,0.232,0.113,0.012
18,30997,2247340,0.247,0.337,0,10,13,3,employee,wealth_generation,low,online,5,2,3,2,3,0.62,0.368,0.532,moderate,0.612,0.259,0.086,0.043,0.605,0.293,0.057,0.045
47,31010,2248967,0.137,0.33,29,4,12,5,employee,income,medium,advisor,3,4,5,3,2,0.7,0.369,0.626,moderate,0.605,0.263,0.088,0.044,0.582,0.276,0.098,0.044
43,31049,2249043,0.123,0.059,26,3,4,0,student,home_purchase,medium,online,4,3,3,2,1,0.56,0.446,0.505,moderate,0.541,0.306,0.102,0.051,0.584,0.315,0.083,0.018
41,31050,2250185,0.041,0.096,17,21,22,3,unemployed,retirement,high,books,3,2,2,4,3,0.54,0.474,0.555,moderate,0.625,0.25,0.083,0.042,0.633,0.282,0.085,0.0
38,31053,2250806,0.27,0.388,15,10,13,1,employee,retirement,high,books,4,3,4,2,4,0.69,0.339,0.567,moderate,0.612,0.259,0.086,0.043,0.597,0.3,0.103,0.0
50,31068,2251433,0.045,0.158,32,4,7,2,employee,wealth_generation,low,books,3,3,3,2,3,0.57,0.45,0.517,moderate,0.567,0.288,0.096,0.048,0.567,0.279,0.12,0.034
49,31078,2251587,0.204,0.207,29,1,15,1,employee,retirement,medium,online,3,2,5,3,5,0.69,0.445,0.65,aggressive,0.792,0.125,0.042,0.042,0.855,0.121,0.0,0.024
35,31085,2254447,0.129,0.116,15,9,8,7,employee,wealth_generation,medium,friends,3,3,2,3,4,0.59,0.475,0.492,moderate,0.575,0.283,0.094,0.047,0.613,0.302,0.084,0.0
45,31093,2254455,0.282,0.141,22,4,11,1,employee,retirement,high,online,1,3,1,4,4,0.48,0.47,0.48,moderate,0.598,0.268,0.089,0.045,0.585,0.293,0.056,0.065
34,31095,2256178,0.137,0.369,13,3,9,1,employee,home_purchase,low,books,3,3,2,2,2,0.5,0.341,0.426,moderate,0.583,0.278,0.093,0.046,0.559,0.223,0.096,0.122
30,31100,2256408,0.224,0.17,8,10,20,7,retired,retirement,high,advisor,3,4,4,4,3,0.72,0.447,0.62,moderate,0.625,0.25,0.083,0.042,0.59,0.293,0.083,0.034
36,31112,2257209,0.109,0.241,16,9,30,3,employee,retirement,low,friends,2,3,3,3,2,0.52,0.465,0.463,moderate,0.625,0.25,0.083,0.042,0.651,0.227,0.084,0.037
48,31112,2257291,0.113,0.12,32,6,5,5,employee,retirement,low,online,4,4,2,3,4,0.69,0.464,0.624,moderate,0.55,0.3,0.1,0.05,0.478,0.309,0.105,0.108
49,31123,2257618,0.172,0.326,26,15,2,2,employee,retirement,medium,online,4,3,3,3,4,0.68,0.349,0.499,moderate,0.521,0.319,0.106,0.053,0.535,0.321,0.098,0.045
46,31160,2258899,0.381,0.347,27,9,6,3,retired,wealth_generation,medium,online,2,3,2,4,2,0.51,0.32,0.453,moderate,0.559,0.294,0.098,0.049,0.586,0.269,0.108,0.037
47,31174,2259921,0.156,0.209,27,13,13,0,self-employed,wealth_generation,medium,advisor,3,2,4,3,3,0.59,0.423,0.508,moderate,0.612,0.259,0.086,0.043,0.615,0.288,0.043,0.054
46,31185,2260705,0.273,0.374,30,3,5,3,employee,education,high,books,5,2,4,4,4,0.75,0.33,0.596,moderate,0.55,0.3,0.1,0.05,0.552,0.297,0.099,0.052
36,31189,2261689,0.215,0.161,18,4,18,3,self-employed,retirement,medium,none,2,3,2,3,2,0.48,0.463,0.452,moderate,0.625,0.25,0.083,0.042,0.566,0.243,0.076,0.115
45,31201,2262414,0.218,0.332,28,2,10,3,employee,education,low,online,3,4,3,3,2,0.62,0.364,0.492,moderate,0.591,0.273,0.091,0.045,0.623,0.267,0.089,0.022
48,31202,2262832,0.141,0.348,31,4,13,3,employee,retirement,low,none,3,4,3,4,2,0.65,0.362,0.582,moderate,0.612,0.259,0.086,0.043,0.594,0.285,0.068,0.054
48,31203,2268878,0.131,0.532,32,17,11,5,employee,wealth_generation,low,friends,2,3,5,3,2,0.6,0.256,0.514,moderate,0.598,0.268,0.089,0.045,0.586,0.244,0.103,0.067
51,31215,2270296,0.087,0.158,30,16,21,3,retired,retirement,low,advisor,4,3,4,5,2,0.72,0.456,0.58,moderate,0.625,0.25,0.083,0.042,0.642,0.239,0.083,0.036
47,31220,2271839,0.295,0.086,24,10,2,4,retired,home_purchase,high,advisor,5,3,3,3,2,0.67,0.436,0.581,moderate,0.521,0.319,0.106,0.053,0.561,0.313,0.081,0.045
44,31221,2273079,0.291,0.171,26,7,16,2,employee,home_purchase,low,books,3,3,2,2,4,0.56,0.468,0.547,moderate,0.625,0.25,0.083,0.042,0.562,0.272,0.109,0.057
50,31224,2277484,0.205,0.104,34,11,14,5,self-employed,retirement,high,friends,3,2,3,4,3,0.58,0.482,0.539,moderate,0.619,0.254,0.085,0.042,0.639,0.237,0.07,0.054
41,31239,2279100,0.112,0.129,24,7,14,3,self-employed,income,medium,online,2,1,2,4,4,0.47,0.469,0.469,moderate,0.619,0.254,0.085,0.042,0.609,0.252,0.089,0.05
34,31252,2280518,0.101,0.199,16,0,10,3,retired,retirement,high,advisor,2,3,4,3,4,0.62,0.404,0.555,moderate,0.591,0.273,0.091,0.045,0.578,0.284,0.078,0.06
40,31253,2280886,0.333,0.228,19,7,1,2,employee,home_purchase,medium,none,3,3,3,2,4,0.6,0.397,0.535,moderate,0.511,0.326,0.109,0.054,0.522,0.322,0.115,0.041
36,31255,2280888,0.045,0.45,18,8,15,6,employee,retirement,low,online,1,2,3,4,2,0.45,0.309,0.38,moderate,0.625,0.25,0.083,0.042,0.639,0.227,0.089,0.045
36,31262,2282341,0.232,0.141,12,4,18,6,employee,retirement,low,friends,3,2,3,5,1,0.55,0.491,0.542,moderate,0.625,0.25,0.083,0.042,0.575,0.255,0.083,0.087
40,31262,2283100,0.125,0.539,24,3,3,2,employee,home_purchase,low,books,2,4,5,4,2,0.68,0.24,0.496,moderate,0.531,0.312,0.104,0.052,0.518,0.333,0.122,0.027
35,31281,2283656,0.137,0.387,13,4,10,4,retired,retirement,low,online,3,2,4,4,4,0.65,0.309,0.503,moderate,0.591,0.273,0.091,0.045,0.533,0.28,0.131,0.056
39,31297,2283958,0.229,0.432,16,8,5,1,employee,education,low,none,3,2,4,4,2,0.59,0.3,0.452,moderate,0.55,0.3,0.1,0.05,0.588,0.286,0.125,0.0
26,31297,2283991,0.055,0.475,2,2,13,0,employee,wealth_generation,medium,advisor,3,4,3,3,2,0.62,0.292,0.467,moderate,0.612,0.259,0.086,0.043,0.65,0.216,0.107,0.027
43,31299,2288048,0.124,0.358,20,10,17,5,retired,income,low,advisor,2,3,2,2,3,0.48,0.339,0.431,moderate,0.625,0.25,0.083,0.042,0.608,0.232,0.109,0.051
42,31299,2289903,0.284,0.376,22,6,14,1,self-employed,income,low,online,2,3,4,3,3,0.59,0.336,0.443,moderate,0.619,0.254,0.085,0.042,0.563,0.263,0.089,0.086
35,31304,2290172,0.194,0.237,19,5,8,1,employee,wealth_generation,medium,books,4,4,4,1,3,0.68,0.411,0.525,moderate,0.575,0.283,0.094,0.047,0.605,0.292,0.071,0.032
47,31332,2290498,0.207,0.263,31,11,5,4,employee,wealth_generation,medium,books,2,2,4,2,2,0.48,0.389,0.439,moderate,0.55,0.3,0.1,0.05,0.569,0.293,0.125,0.013
49,31336,2291841,0.208,0.478,26,7,17,5,employee,retirement,low,advisor,3,3,2,4,4,0.62,0.297,0.491,moderate,0.625,0.25,0.083,0.042,0.647,0.201,0.068,0.084
29,31342,2293168,0.042,0.215,7,5,8,2,employee,retirement,low,books,4,3,4,3,2,0.66,0.422,0.533,moderate,0.575,0.283,0.094,0.047,0.591,0.272,0.076,0.061
35,31353,2293440,0.09,0.047,15,13,2,1,self-employed,wealth_generation,low,advisor,3,1,2,5,2,0.49,0.474,0.536,moderate,0.521,0.319,0.106,0.053,0.525,0.324,0.063,0.089
35,31374,2294146,0.151,0.363,17,5,13,1,employee,retirement,low,online,2,4,4,1,3,0.58,0.354,0.467,moderate,0.612,0.259,0.086,0.043,0.653,0.277,0.053,0.016
34,31379,2294276,0.127,0.286,10,12,7,0,employee,retirement,high,books,2,3,3,2,3,0.52,0.382,0.445,moderate,0.567,0.288,0.096,0.048,0.593,0.297,0.111,0.0
48,31380,2298194,0.136,0.389,29,7,19,1,employee,retirement,medium,online,4,5,3,3,2,0.72,0.351,0.55,moderate,0.625,0.25,0.083,0.042,0.602,0.249,0.116,0.033
40,31386,2298894,0.214,0.074,19,3,5,6,self-employed,retirement,medium,online,3,3,3,3,3,0.6,0.471,0.577,moderate,0.55,0.3,0.1,0.05,0.564,0.338,0.077,0.02
39,31389,2299525,0.014,0.304,20,8,10,1,retired,education,low,books,3,5,4,2,4,0.74,0.352,0.636,moderate,0.591,0.273,0.091,0.045,0.564,0.267,0.072,0.096
25,31398,2300354,0.185,0.164,1,4,7,4,employee,retirement,medium,none,2,2,2,4,3,0.49,0.447,0.444,moderate,0.567,0.288,0.096,0.048,0.574,0.309,0.07,0.047
47,31401,2301774,0.0,0.449,28,2,15,6,employee,home_purchase,low,advisor,2,3,4,5,2,0.62,0.309,0.521,moderate,0.625,0.25,0.083,0.042,0.617,0.256,0.095,0.031
32,31417,2302752,0.043,0.096,9,1,12,4,retired,retirement,medium,advisor,4,1,4,4,4,0.65,0.463,0.583,moderate,0.605,0.263,0.088,0.044,0.586,0.291,0.059,0.064
42,31419,2303607,0.135,0.406,24,3,17,0,employee,retirement,low,online,4,2,4,2,2,0.58,0.338,0.46,moderate,0.625,0.25,0.083,0.042,0.602,0.259,0.07,0.069
44,31421,2306812,0.231,0.083,21,10,11,4,employee,retirement,low,advisor,3,3,3,2,3,0.57,0.503,0.551,moderate,0.598,0.268,0.089,0.045,0.57,0.279,0.103,0.049
52,31446,2307969,0.074,0.031,34,12,1,6,employee,education,low,online,2,3,3,4,4,0.61,0.499,0.526,moderate,0.511,0.326,0.109,0.054,0.476,0.316,0.114,0.095
31,31471,2308589,0.164,0.159,11,12,6,2,employee,education,low,books,3,1,2,4,3,0.49,0.447,0.465,moderate,0.559,0.294,0.098,0.049,0.556,0.291,0.108,0.045
18,31475,2310237,0.189,0.198,2,4,35,2,employee,retirement,medium,none,5,4,3,3,2,0.72,0.505,0.604,moderate,0.625,0.25,0.083,0.042,0.636,0.213,0.111,0.04
43,31494,2312566,0.097,0.306,22,9,10,2,employee,retirement,medium,friends,2,3,3,3,4,0.58,0.379,0.489,moderate,0.591,0.273,0.091,0.045,0.612,0.251,0.082,0.055
56,31508,2314700,0.155,0.109,39,3,14,3,retired,home_purchase,medium,online,3,3,2,4,4,0.62,0.462,0.559,moderate,0.619,0.254,0.085,0.042,0.618,0.264,0.076,0.042
51,31510,2314805,0.259,0.237,33,8,21,2,employee,wealth_generation,high,online,5,3,3,3,3,0.7,0.445,0.643,moderate,0.625,0.25,0.083,0.042,0.661,0.223,0.116,0.0
43,31511,2315653,0.155,0.145,27,13,2,4,employee,wealth_generation,low,online,2,3,3,4,3,0.58,0.443,0.527,moderate,0.521,0.319,0.106,0.053,0.531,0.353,0.105,0.012
38,31517,2316361,0.078,0.414,17,1,14,4,self-employed,wealth_generation,low,online,4,4,3,2,3,0.67,0.316,0.499,moderate,0.619,0.254,0.085,0.042,0.643,0.206,0.075,0.077
48,31523,2317763,0.178,0.049,28,19,8,3,self-employed,wealth_generation,low,books,3,2,4,4,3,0.62,0.493,0.57,moderate,0.575,0.283,0.094,0.047,0.579,0.287,0.133,0.002
34,31527,2319019,0.171,0.207,17,12,7,4,unemployed,wealth_generation,medium,advisor,4,3,3,5,3,0.71,0.377,0.515,moderate,0.567,0.288,0.096,0.048,0.593,0.301,0.076,0.031
45,31529,2319377,0.023,0.307,22,10,6,1,unemployed,education,low,friends,1,1,4,1,2,0.35,0.327,0.366,moderate,0.559,0.294,0.098,0.049,0.621,0.252,0.098,0.029
46,31564,2320447,0.055,0.458,22,9,18,4,employee,income,low,online,2,3,3,2,2,0.49,0.31,0.394,moderate,0.625,0.25,0.083,0.042,0.635,0.236,0.089,0.04
50,31572,2321651,0.078,0.422,32,10,9,4,student,wealth_generation,low,friends,4,5,4,2,4,0.79,0.284,0.645,moderate,0.583,0.278,0.093,0.046,0.58,0.273,0.095,0.052
64,31581,2321671,0.071,0.442,43,21,3,4,employee,retirement,low,friends,5,4,1,4,3,0.7,0.291,0.564,moderate,0.531,0.312,0.104,0.052,0.534,0.307,0.135,0.024
45,31604,2322274,0.104,0.064,24,10,4,1,employee,income,high,online,3,3,4,3,4,0.67,0.491,0.602,moderate,0.541,0.306,0.102,0.051,0.622,0.288,0.09,0.0
37,31623,2323458,0.144,0.405,16,5,5,4,employee,education,low,advisor,3,3,4,3,4,0.67,0.315,0.519,moderate,0.55,0.3,0.1,0.05,0.525,0.317,0.069,0.088
41,31630,2323471,0.128,0.371,18,8,21,3,self-employed,wealth_generation,low,advisor,3,4,4,3,4,0.72,0.354,0.561,moderate,0.625,0.25,0.083,0.042,0.658,0.221,0.062,0.059
27,31652,2323892,0.25,0.448,7,5,10,3,employee,wealth_generation,low,advisor,3,4,4,3,2,0.66,0.301,0.505,moderate,0.591,0.273,0.091,0.045,0.57,0.318,0.07,0.042
36,31656,2325867,0.175,0.19,13,17,22,2,employee,education,low,none,2,3,2,4,1,0.48,0.475,0.478,moderate,0.625,0.25,0.083,0.042,0.657,0.301,0.042,0.0
38,31661,2326681,0.244,0.457,20,13,18,0,employee,education,low,books,4,3,2,3,3,0.61,0.311,0.478,moderate,0.625,0.25,0.083,0.042,0.648,0.259,0.035,0.058
37,31668,2326899,0.158,0.224,15,7,19,3,self-employed,education,low,books,3,2,2,3,3,0.51,0.431,0.495,moderate,0.625,0.25,0.083,0.042,0.625,0.232,0.061,0.083
43,31685,2328391,0.055,0.308,27,11,8,3,employee,income,medium,advisor,4,3,3,3,3,0.65,0.373,0.583,moderate,0.575,0.283,0.094,0.047,0.557,0.307,0.082,0.054
35,31687,2329712,0.146,0.232,16,14,7,3,student,wealth_generation,medium,friends,3,3,1,4,4,0.58,0.373,0.5,moderate,0.567,0.288,0.096,0.048,0.587,0.296,0.042,0.075
50,31696,2333912,0.226,0.233,30,3,12,4,retired,retirement,medium,friends,4,2,4,1,1,0.52,0.393,0.502,moderate,0.605,0.263,0.088,0.044,0.566,0.293,0.105,0.037
42,31696,2334161,0.088,0.276,20,8,10,2,employee,wealth_generation,low,friends,3,2,4,4,4,0.65,0.395,0.508,moderate,0.591,0.273,0.091,0.045,0.632,0.25,0.053,0.065
41,31703,2338185,0.056,0.207,20,6,11,2,student,education,low,online,4,4,2,4,4,0.72,0.396,0.601,moderate,0.598,0.268,0.089,0.045,0.592,0.315,0.079,0.014
39,31707,2340144,0.119,0.378,18,10,3,3,employee,wealth_generation,low,friends,2,3,2,5,2,0.54,0.325,0.456,moderate,0.531,0.312,0.104,0.052,0.585,0.258,0.104,0.053
43,31709,2343210,0.131,0.308,26,5,26,4,student,home_purchase,medium,books,3,3,3,5,5,0.72,0.38,0.542,moderate,0.625,0.25,0.083,0.042,0.647,0.24,0.075,0.037
48,31714,2344566,0.114,0.331,31,9,3,3,employee,retirement,low,online,1,3,3,4,3,0.53,0.349,0.45,moderate,0.531,0.312,0.104,0.052,0.564,0.326,0.076,0.035
35,31719,2345920,0.071,0.157,18,5,5,5,retired,education,low,advisor,2,2,3,3,3,0.5,0.412,0.49,moderate,0.55,0.3,0.1,0.05,0.606,0.303,0.058,0.033
36,31754,2346384,0.102,0.534,13,2,15,5,unemployed,retirement,low,advisor,2,5,4,4,3,0.72,0.234,0.445,moderate,0.625,0.25,0.083,0.042,0.609,0.303,0.088,0.0
39,31765,2346780,0.19,0.319,17,2,5,1,employee,education,low,books,2,4,2,1,4,0.53,0.36,0.456,moderate,0.55,0.3,0.1,0.05,0.524,0.303,0.118,0.054
31,31779,2347188,0.131,0.142,15,2,4,3,employee,wealth_generation,medium,advisor,2,3,4,2,1,0.5,0.451,0.467,moderate,0.541,0.306,0.102,0.051,0.503,0.273,0.089,0.135
35,31799,2349848,0.179,0.357,11,1,5,3,self-employed,income,medium,books,4,3,4,4,4,0.75,0.327,0.589,moderate,0.55,0.3,0.1,0.05,0.573,0.283,0.094,0.05
38,31812,2351416,0.16,0.131,15,7,3,3,employee,wealth_generation,medium,advisor,3,3,4,4,2,0.64,0.454,0.593,moderate,0.531,0.312,0.104,0.052,0.539,0.365,0.096,0.0
48,31832,2354844,0.163,0.065,24,9,7,7,unemployed,education,low,online,3,2,3,4,2,0.55,0.445,0.529,moderate,0.567,0.288,0.096,0.048,0.581,0.271,0.13,0.018
44,31837,2356654,0.101,0.269,25,2,7,3,retired,retirement,low,advisor,3,3,3,4,3,0.63,0.362,0.552,moderate,0.567,0.288,0.096,0.048,0.577,0.313,0.089,0.021
43,31846,2357037,0.157,0.278,23,8,11,4,retired,education,low,online,4,3,3,2,3,0.62,0.368,0.554,moderate,0.598,0.268,0.089,0.045,0.596,0.318,0.077,0.009
48,31849,2358738,0.021,0.138,28,8,10,7,self-employed,wealth_generation,high,advisor,3,4,3,4,2,0.65,0.453,0.56,moderate,0.591,0.273,0.091,0.045,0.603,0.278,0.112,0.007
